Candidate,Mean_CV_AveragePrecision,Std_CV_AveragePrecision,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
22,0.5095044381633386,0.2585360846098827,0.8,2.0,0.5,700,4,6,0.01,0.3,1.0
2,0.5088937940896122,0.25896716794649416,1.0,1.0,0.5,300,4,4,0.05,0.0,0.8
9,0.5073436670630833,0.2565019766087432,0.9,1.0,1.0,300,4,6,0.05,0.1,0.6
6,0.5062578206823002,0.25705841508398974,1.0,10.0,0.5,700,8,6,0.05,0.5,0.6
13,0.5046320517717486,0.2560998993848048,1.0,0.5,0.0,300,6,6,0.03,0.1,0.8
24,0.5043239452293562,0.2559310943834729,0.8,0.5,0.1,700,4,6,0.01,0.3,0.8
12,0.501827507607376,0.25425983133850566,1.0,2.0,0.5,300,4,6,0.05,0.5,1.0
28,0.5012436157827479,0.25437951846907836,0.7,10.0,0.5,500,1,6,0.05,0.3,0.8
15,0.5004509213861692,0.25374351102626297,1.0,1.0,0.5,500,1,6,0.05,0.0,1.0
23,0.49955583490049554,0.25221186229164977,0.8,2.0,0.0,900,2,5,0.07,0.5,0.8
7,0.4994359796730071,0.25231430880020894,0.7,2.0,0.5,700,1,6,0.03,0.5,0.6
4,0.4982471435643456,0.2527675451875963,0.9,10.0,0.01,700,8,5,0.03,0.5,1.0
29,0.4981154668022617,0.2531171325009847,1.0,10.0,0.5,900,2,3,0.07,0.1,0.8
19,0.4975020598466415,0.25190687687625846,0.8,5.0,0.0,500,4,6,0.01,0.0,1.0
16,0.49710249960057845,0.25188405314054285,0.9,2.0,1.0,700,4,3,0.03,0.1,0.6
11,0.49634684309178745,0.251203696042604,0.9,10.0,1.0,700,6,6,0.05,0.3,0.6
25,0.49631504919905167,0.25089001514530573,1.0,5.0,0.1,700,6,4,0.03,0.0,1.0
27,0.4962170182190018,0.2521084817203686,0.7,10.0,1.0,500,8,4,0.03,0.5,0.8
30,0.49614486497909754,0.2524183254752409,0.8,2.0,0.1,700,6,4,0.07,0.3,1.0
26,0.4960913505600403,0.2512626333897739,1.0,5.0,0.1,500,6,6,0.01,0.5,0.6
17,0.49427349100749707,0.25026122741465195,0.8,1.0,0.5,500,6,3,0.03,0.3,1.0
14,0.4940365067893355,0.2502414472614708,1.0,5.0,0.01,500,6,6,0.07,0.1,0.8
8,0.4938903342430758,0.2503476254324518,0.7,5.0,1.0,700,8,6,0.03,0.3,0.8
5,0.4930539954944392,0.2496761709148131,0.9,10.0,0.5,900,4,4,0.01,0.0,1.0
1,0.4911369693034599,0.24977882530186687,0.9,10.0,0.1,900,8,3,0.07,0.5,0.6
10,0.49032809197505856,0.24902675243032987,0.8,10.0,0.01,500,6,3,0.03,0.0,0.8
3,0.4903132437812018,0.24895863378957026,0.7,5.0,0.01,900,8,4,0.01,0.0,0.8
20,0.46737231969205606,0.2383388380012537,1.0,10.0,0.5,700,8,3,0.01,0.3,1.0
21,0.4554943253212195,0.2323400886827802,1.0,1.0,0.01,300,1,4,0.01,0.3,0.8
18,0.44955878433736035,0.22922891937552686,0.7,0.5,0.01,300,4,3,0.01,0.3,0.6
