Feature,R_squared,VIF,VIF_Status,Development_N,Auxiliary_Predictor_Count
MolWt,0.9999974242250124,388232.66970165307,Severe multicollinearity,2168,59
HeavyAtomMolWt,0.9999968987276138,322448.2971699298,Severe multicollinearity,2168,59
HeavyAtomCount,0.9999881583388034,84447.61114144069,Severe multicollinearity,2168,59
Chi1,0.9999604660975335,25294.74546177447,Severe multicollinearity,2168,59
NumValenceElectrons,0.9999599218839532,24951.272630497988,Severe multicollinearity,2168,59
Chi0,0.9999591912378649,24504.54137005952,Severe multicollinearity,2168,59
Chi0v,0.9997761381732017,4467.041184742972,Severe multicollinearity,2168,59
Kappa1,0.9997541590748574,4067.6709926147114,Severe multicollinearity,2168,59
NOCount,0.998601640612306,715.1237434384535,Severe multicollinearity,2168,59
NumHeteroatoms,0.9982456517747846,570.0122618913018,Severe multicollinearity,2168,59
Chi1v,0.9981674713386418,545.6940571171441,Severe multicollinearity,2168,59
TPSA,0.9975727736087141,411.99288356049044,Severe multicollinearity,2168,59
Chi2n,0.9975266521672833,404.3102982816675,Severe multicollinearity,2168,59
Chi3n,0.9955423757761616,224.33474644457678,Severe multicollinearity,2168,59
HallKierAlpha,0.9954024826382856,217.5086946549553,Severe multicollinearity,2168,59
MaxPartialCharge,0.9948505694016769,194.1962282831142,Severe multicollinearity,2168,59
MinAbsPartialCharge,0.9931168818933358,145.2829930423256,Severe multicollinearity,2168,59
MaxAbsPartialCharge,0.9925849298988118,134.860491722088,Severe multicollinearity,2168,59
Chi2v,0.9920343536813703,125.53909124250735,Severe multicollinearity,2168,59
MinPartialCharge,0.9912929471182628,114.84942305765345,Severe multicollinearity,2168,59
SMR_VSA5,0.9911200157299676,112.61281209413065,Severe multicollinearity,2168,59
Chi4n,0.991067887109939,111.9555935206243,Severe multicollinearity,2168,59
Kappa2,0.9902521857964474,102.58710097649839,Severe multicollinearity,2168,59
NHOHCount,0.9889391354987844,90.40884642336063,Severe multicollinearity,2168,59
Chi3v,0.9876915580129565,81.24505124634385,Severe multicollinearity,2168,59
SMR_VSA1,0.9834018295589768,60.24760400871962,Severe multicollinearity,2168,59
MolLogP,0.9827036992815804,57.81583104270708,Severe multicollinearity,2168,59
NumRotatableBonds,0.9816918156662477,54.62038079638728,Severe multicollinearity,2168,59
SlogP_VSA2,0.9801486593940658,50.37443162408229,Severe multicollinearity,2168,59
NumHDonors,0.9800912648539039,50.22920806679612,Severe multicollinearity,2168,59
NumHAcceptors,0.97777695683954,44.99833766147903,Severe multicollinearity,2168,59
EState_VSA10,0.9753181147421074,40.515543669024495,Severe multicollinearity,2168,59
Chi4v,0.9723967326326922,36.22759533113679,Severe multicollinearity,2168,59
VSA_EState10,0.9704908677346067,33.88781449099894,Severe multicollinearity,2168,59
SlogP_VSA12,0.9697131450681648,33.01762438690442,Severe multicollinearity,2168,59
NumAliphaticHeterocycles,0.9619527029695853,26.28307601458809,Severe multicollinearity,2168,59
NumSaturatedRings,0.9614432389071796,25.935788475402042,Severe multicollinearity,2168,59
EState_VSA9,0.9611068645248666,25.71147807405132,Severe multicollinearity,2168,59
SMR_VSA6,0.9575663160942525,23.566183935883835,Severe multicollinearity,2168,59
PEOE_VSA1,0.9320633537763198,14.71959620596397,Severe multicollinearity,2168,59
EState_VSA1,0.911675686098336,11.321910760760078,Severe multicollinearity,2168,59
NumSaturatedCarbocycles,0.9112826736462633,11.271755372933196,Severe multicollinearity,2168,59
NumAliphaticCarbocycles,0.8991342451030904,9.914167608442083,Potential multicollinearity,2168,59
NumAtomStereoCenters,0.870794416443551,7.739603602835844,Potential multicollinearity,2168,59
PEOE_VSA4,0.8665762404211269,7.494916970982613,Potential multicollinearity,2168,59
SlogP_VSA3,0.8624327252545856,7.269170679223137,Potential multicollinearity,2168,59
VSA_EState9,0.85417808911807,6.857679987541012,Potential multicollinearity,2168,59
SlogP_VSA11,0.8280671994903718,5.816225857055123,Potential multicollinearity,2168,59
MinEStateIndex,0.8277296724016744,5.804830198800409,Potential multicollinearity,2168,59
VSA_EState2,0.8223316982560382,5.628466024519684,Potential multicollinearity,2168,59
SMR_VSA9,0.7813097048759361,4.572676622127634,Acceptable,2168,59
NumBridgeheadAtoms,0.7699577376206642,4.347027322966495,Acceptable,2168,59
EState_VSA8,0.7569330902117866,4.114093526228271,Acceptable,2168,59
PEOE_VSA10,0.7317577553366763,3.72797357573234,Acceptable,2168,59
SlogP_VSA4,0.7019146356649111,3.3547437064902743,Acceptable,2168,59
PEOE_VSA14,0.6607641057465536,2.947801270265612,Acceptable,2168,59
NumAmideBonds,0.5519646410272812,2.231966696318026,Acceptable,2168,59
PEOE_VSA8,0.5373363742719149,2.161397491376848,Acceptable,2168,59
PEOE_VSA5,0.41797755779497814,1.7181468058369858,Acceptable,2168,59
Kappa3,0.030347666047268462,1.0312974712529779,Acceptable,2168,59
