Functional_group,False_negative_present_N,False_negative_prevalence,True_positive_present_N,True_positive_prevalence,Prevalence_difference_FN_minus_TP,Odds_ratio,Fisher_exact_p,BH_adjusted_q
Ester,12,0.3,2,0.037037037037037035,0.26296296296296295,11.142857142857142,0.0006835767451340814,0.013671534902681626
Primary_or_secondary_amine,1,0.025,14,0.25925925925925924,-0.23425925925925925,0.07326007326007326,0.0016889309784316883,0.016889309784316884
Aromatic_atom,19,0.475,13,0.24074074074074073,0.23425925925925925,2.8534798534798536,0.027150381796308895,0.11987535009826196
Halogen,15,0.375,12,0.2222222222222222,0.1527777777777778,2.1,0.11439554989845303,0.3268444282812944
Phenol,4,0.1,0,0.0,0.1,inf,0.02996883752456549,0.11987535009826196
Ketone,4,0.1,0,0.0,0.1,inf,0.02996883752456549,0.11987535009826196
Tertiary_amine,0,0.0,5,0.09259259259259259,-0.09259259259259259,0.0,0.06960187912710966,0.23200626375703223
Amide,5,0.125,4,0.07407407407407407,0.05092592592592593,1.7857142857142858,0.4883841258759776,0.9767682517519554
Epoxide,2,0.05,0,0.0,0.05,inf,0.17844886753603298,0.44612216884008243
Nitrile,3,0.075,6,0.1111111111111111,-0.03611111111111111,0.6486486486486487,0.7282805644604473,1.0
Thiol,1,0.025,0,0.0,0.025,inf,0.42553191489361697,0.9456264775413712
Phosphate,3,0.075,3,0.05555555555555555,0.019444444444444445,1.3783783783783783,0.6970391792484419,1.0
Sulfonamide,0,0.0,1,0.018518518518518517,-0.018518518518518517,0.0,1.0,1.0
Aldehyde,0,0.0,1,0.018518518518518517,-0.018518518518518517,0.0,1.0,1.0
Thioether,1,0.025,1,0.018518518518518517,0.006481481481481484,1.358974358974359,1.0,1.0
Nitro,0,0.0,0,0.0,0.0,,1.0,1.0
Carboxylic_acid,0,0.0,0,0.0,0.0,,1.0,1.0
Quaternary_ammonium,0,0.0,0,0.0,0.0,,1.0,1.0
Isocyanate,0,0.0,0,0.0,0.0,,1.0,1.0
Acyl_halide,0,0.0,0,0.0,0.0,,1.0,1.0
