Algorithm,Fold,Threshold,Training_N,Validation_N,Accuracy,BalancedAccuracy,Precision_toxic,Recall_toxic,Specificity_non_toxic,F1_toxic,MCC,Brier,ROC_AUC,PR_AUC,True_GO,False_NO_GO,False_GO,True_NO_GO,GO_Precision,GO_Recall,NO_GO_Precision,NO_GO_Recall
LogisticRegression,1,0.5,2167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31705073894136787,,,0,1,0,0,0.0,0.0,0.0,0.0
LogisticRegression,2,0.5,1728,440,0.7636363636363637,0.755772772347358,0.4084507042253521,0.7435897435897436,0.7679558011049724,0.5272727272727272,0.4178626834530392,0.1516247400324172,0.8494829295934269,0.5645613089096674,278,84,20,58,0.9328859060402684,0.7679558011049724,0.4084507042253521,0.7435897435897436
LogisticRegression,3,0.5,1292,876,0.7408675799086758,0.6793816383980318,0.41338582677165353,0.5737704918032787,0.784992784992785,0.4805491990846682,0.3214312472918915,0.1834191414840874,0.746922779709665,0.45093824252649956,544,149,78,105,0.8745980707395499,0.784992784992785,0.41338582677165353,0.5737704918032787
LogisticRegression,4,0.5,1746,422,0.7725118483412322,0.7787708546135512,0.3880597014925373,0.7878787878787878,0.7696629213483146,0.52,0.4350364895913801,0.15354675904464046,0.8372914538644876,0.5900271443301863,274,82,14,52,0.9513888888888888,0.7696629213483146,0.3880597014925373,0.7878787878787878
LogisticRegression,5,0.5,1739,429,0.7785547785547785,0.7216183574879227,0.38596491228070173,0.6376811594202898,0.8055555555555556,0.4808743169398907,0.3686411571618985,0.15041186111458615,0.7888083735909822,0.47150979548061495,290,70,25,44,0.9206349206349206,0.8055555555555556,0.38596491228070173,0.6376811594202898
SVM,1,0.5,2167,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07967097000478635,,,1,0,0,0,1.0,1.0,0.0,0.0
SVM,2,0.5,1728,440,0.8772727272727273,0.694078481371299,0.8,0.41025641025641024,0.9779005524861878,0.5423728813559322,0.5156428216107344,0.0984285112399377,0.8579295934268311,0.6396724362563784,354,8,46,32,0.885,0.9779005524861878,0.8,0.41025641025641024
SVM,3,0.5,1292,876,0.8082191780821918,0.6033165377427673,0.5974025974025974,0.25136612021857924,0.9552669552669553,0.35384615384615387,0.29666973906186633,0.13306777062187009,0.777627957955827,0.5157894236719277,662,31,137,46,0.8285356695869838,0.9552669552669553,0.5974025974025974,0.25136612021857924
SVM,4,0.5,1746,422,0.8981042654028436,0.7359550561797753,0.7674418604651163,0.5,0.9719101123595506,0.6055045871559633,0.566633722875743,0.08932995380473861,0.8389513108614233,0.6046535039910843,346,10,33,33,0.9129287598944591,0.9719101123595506,0.7674418604651163,0.5
SVM,5,0.5,1739,429,0.8624708624708625,0.6368961352657005,0.65625,0.30434782608695654,0.9694444444444444,0.4158415841584158,0.3828483119535525,0.10560983643774145,0.8055958132045089,0.5081441849840151,349,11,48,21,0.8790931989924433,0.9694444444444444,0.65625,0.30434782608695654
RandomForest,1,0.5,2167,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0324,,,1,0,0,0,1.0,1.0,0.0,0.0
RandomForest,2,0.5,1728,440,0.8636363636363636,0.6455588610284744,0.8,0.3076923076923077,0.9834254143646409,0.4444444444444444,0.44108031413902976,0.09833636363636364,0.8756197761722623,0.6602332400051856,356,6,54,24,0.8682926829268293,0.9834254143646409,0.8,0.3076923076923077
RandomForest,3,0.5,1292,876,0.8207762557077626,0.6092423059636174,0.703125,0.2459016393442623,0.9725829725829725,0.3643724696356275,0.3413068582997886,0.12953253424657532,0.7977787240082322,0.5510248747173349,674,19,138,45,0.8300492610837439,0.9725829725829725,0.703125,0.2459016393442623
RandomForest,4,0.5,1746,422,0.8909952606635071,0.6885427306775621,0.8125,0.3939393939393939,0.9831460674157303,0.5306122448979592,0.5174036194473126,0.09240876777251185,0.8355677562138236,0.6174141820840732,350,6,40,26,0.8974358974358975,0.9831460674157303,0.8125,0.3939393939393939
RandomForest,5,0.5,1739,429,0.8624708624708625,0.6134661835748793,0.7083333333333334,0.2463768115942029,0.9805555555555555,0.3655913978494624,0.36277646667892915,0.09982890442890442,0.8272745571658615,0.5556023081408203,353,7,52,17,0.8716049382716049,0.9805555555555555,0.7083333333333334,0.2463768115942029
GradientBoosting,1,0.5,2167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3775149928487024,,,0,1,0,0,0.0,0.0,0.0,0.0
GradientBoosting,2,0.5,1728,440,0.85,0.7730556736081597,0.5666666666666667,0.6538461538461539,0.8922651933701657,0.6071428571428571,0.5170440088749821,0.11252158294230352,0.869209519762006,0.6641723263175329,323,39,27,51,0.9228571428571428,0.8922651933701657,0.5666666666666667,0.6538461538461539
GradientBoosting,3,0.5,1292,876,0.7819634703196348,0.7053556643720578,0.481651376146789,0.5737704918032787,0.836940836940837,0.5236907730673317,0.38617810830759636,0.15349047706243907,0.7864081880475322,0.5456513282956066,580,113,78,105,0.8814589665653495,0.836940836940837,0.481651376146789,0.5737704918032787
GradientBoosting,4,0.5,1746,422,0.8317535545023697,0.7645131086142323,0.4731182795698925,0.6666666666666666,0.8623595505617978,0.5534591194968553,0.46359072513628785,0.11767194472898322,0.8430796731358529,0.6182933741497323,307,49,22,44,0.9331306990881459,0.8623595505617978,0.4731182795698925,0.6666666666666666
GradientBoosting,5,0.5,1739,429,0.8321678321678322,0.7418478260869565,0.4827586206896552,0.6086956521739131,0.875,0.5384615384615384,0.441952199928031,0.11150535158740225,0.8484702093397745,0.606357251954036,315,45,27,42,0.9210526315789473,0.875,0.4827586206896552,0.6086956521739131
XGBoost,1,0.5,2167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811165958204242,,,0,1,0,0,0.0,0.0,0.0,0.0
XGBoost,2,0.5,1728,440,0.884090909090909,0.7334254143646408,0.7647058823529411,0.5,0.9668508287292817,0.6046511627906976,0.5569546471403104,0.10132119585068733,0.8603555744439721,0.6692862698223592,350,12,39,39,0.8997429305912596,0.9668508287292817,0.7647058823529411,0.5
XGBoost,3,0.5,1292,876,0.8230593607305936,0.6770397180233245,0.609375,0.4262295081967213,0.9278499278499278,0.5016077170418006,0.40750888602580615,0.14304588078831418,0.7852056868450312,0.5494990844770952,643,50,105,78,0.8596256684491979,0.9278499278499278,0.609375,0.4262295081967213
XGBoost,4,0.5,1746,422,0.8744075829383886,0.7465951651344909,0.6065573770491803,0.5606060606060606,0.9325842696629213,0.5826771653543307,0.509439952603279,0.09684683161140949,0.8441436840313244,0.6171810877713697,332,24,29,37,0.9196675900277008,0.9325842696629213,0.6065573770491803,0.5606060606060606
XGBoost,5,0.5,1739,429,0.8834498834498834,0.731400966183575,0.6862745098039216,0.5072463768115942,0.9555555555555556,0.5833333333333334,0.5253393971836285,0.10024609613966967,0.8622785829307568,0.6155464246739966,344,16,34,35,0.91005291005291,0.9555555555555556,0.6862745098039216,0.5072463768115942
