Original_Row,Reason,SMILES
2,Canonical structure has conflicting labels,[O-][N+](=O)c1ccccc1
30,Canonical structure has conflicting labels,C#N
31,Canonical structure has conflicting labels,C#N
34,Canonical structure has conflicting labels,C(Cl)Cl
36,Canonical structure has conflicting labels,C(Oc1ccccc1)C1CO1
125,Canonical structure has conflicting labels,C=CC(=O)NCOCCCC
126,Canonical structure has conflicting labels,C=CC(=O)O
136,Canonical structure has conflicting labels,C=CC(=O)OCC
261,Canonical structure has conflicting labels,c1ccc(OCC2CO2)cc1
295,Canonical structure has conflicting labels,CC#N
296,Canonical structure has conflicting labels,CC#N
398,Canonical structure has conflicting labels,CC(C)(C)C(=O)O
399,Canonical structure has conflicting labels,CC(C)(C)C(=O)O
941,Canonical structure has conflicting labels,CCC(=O)O
942,Canonical structure has conflicting labels,CCC(=O)O
1037,Canonical structure has conflicting labels,CCCC#N
1038,Canonical structure has conflicting labels,CCCC#N
1074,Canonical structure has conflicting labels,CCCCC(=O)O
1075,Canonical structure has conflicting labels,CCCCC(=O)O
1085,Canonical structure has conflicting labels,CCCCC(CC)C(=O)O
1086,Canonical structure has conflicting labels,CCCCC(CC)C(=O)O
1131,Canonical structure has conflicting labels,CCCCCC(=O)O
1132,Canonical structure has conflicting labels,CCCCCC(=O)O
1362,Canonical structure has conflicting labels,CCCCCCCCS
1363,Canonical structure has conflicting labels,CCCCCCCCS
1386,Canonical structure has conflicting labels,CCCCN(CCCC)CCCC
1387,Canonical structure has conflicting labels,CCCCN(CCCC)CCCC
1419,Canonical structure has conflicting labels,CCCCOCC1CO1
1420,Canonical structure has conflicting labels,CCCCOCC1CO1
1421,Canonical structure has conflicting labels,CCCCOCCO
1422,Canonical structure has conflicting labels,CCCCOCCO
1435,Canonical structure has conflicting labels,CCCCOCNC(=O)C=C
1570,Canonical structure has conflicting labels,CCOC(=O)C=C
1781,Canonical structure has conflicting labels,ClCCl
1842,Canonical structure has conflicting labels,CN=C=O
1843,Canonical structure has conflicting labels,CN=C=O
1912,Canonical structure has conflicting labels,CO
1913,Canonical structure has conflicting labels,CO
2218,Canonical structure has conflicting labels,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F
2267,Canonical structure has conflicting labels,Nc1c(c(nn1c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
2287,Canonical structure has conflicting labels,Nc1ccc(Cc2ccc(N)cc2)cc1
2288,Canonical structure has conflicting labels,Nc1ccc(Cc2ccc(N)cc2)cc1
2335,Canonical structure has conflicting labels,NCCCO
2336,Canonical structure has conflicting labels,NCCCO
2367,Canonical structure has conflicting labels,O=[N+]([O-])c1ccccc1
2504,Canonical structure has conflicting labels,O=C=NCCCCCCN=C=O
2505,Canonical structure has conflicting labels,O=C=NCCCCCCN=C=O
2552,Canonical structure has conflicting labels,O=C1CCCCCN1
2553,Canonical structure has conflicting labels,O=C1CCCCCN1
2603,Canonical structure has conflicting labels,O=CCCCC=O
2604,Canonical structure has conflicting labels,O=CCCCC=O
2666,Canonical structure has conflicting labels,OC(=O)C=C
