Feature,Importance,Rank
Chi2n,0.061026454,1
VSA_EState2,0.021705713,2
Chi3n,0.017880587,3
HallKierAlpha,0.017682228,4
NumHDonors,0.017364515,5
VSA_EState10,0.016581932,6
SMR_VSA1,0.0146632185,7
HeavyAtomCount,0.014642971,8
NumSaturatedRings,0.013798265,9
Chi2v,0.013569998,10
Chi4n,0.013509558,11
EState_VSA9,0.013220783,12
NumSaturatedCarbocycles,0.012786487,13
Chi1,0.012785193,14
SlogP_VSA11,0.012534403,15
SMR_VSA5,0.011774508,16
PEOE_VSA10,0.011437348,17
EState_VSA1,0.011436239,18
SlogP_VSA12,0.011388234,19
EState_VSA10,0.0112115415,20
MinEStateIndex,0.011147495,21
NumBridgeheadAtoms,0.01106218,22
VSA_EState9,0.010972247,23
Chi0,0.010946552,24
NumHeteroatoms,0.0108762765,25
Kappa1,0.010746081,26
NumValenceElectrons,0.010576362,27
MinAbsPartialCharge,0.010474864,28
SMR_VSA9,0.010381614,29
SMR_VSA6,0.010122353,30
Chi1v,0.010088796,31
MaxPartialCharge,0.009947551,32
PEOE_VSA14,0.0099426275,33
MaxAbsPartialCharge,0.00970765,34
PEOE_VSA5,0.00968011,35
TPSA,0.009504663,36
Chi0v,0.009434283,37
NumAliphaticCarbocycles,0.009404284,38
PEOE_VSA1,0.009257491,39
MolLogP,0.00922389,40
Chi3v,0.009161703,41
NumRotatableBonds,0.009144128,42
NumAtomStereoCenters,0.00913992,43
Kappa2,0.009049902,44
NOCount,0.009043905,45
SlogP_VSA3,0.008829948,46
NHOHCount,0.008813588,47
EState_VSA8,0.0087025305,48
MinPartialCharge,0.008682669,49
MolWt,0.008517395,50
Kappa3,0.008463191,51
Chi4v,0.008456508,52
HeavyAtomMolWt,0.008424056,53
NumAliphaticHeterocycles,0.008405005,54
PEOE_VSA8,0.008243007,55
SlogP_VSA4,0.008144111,56
NumAmideBonds,0.008127731,57
PEOE_VSA4,0.008103438,58
SlogP_VSA2,0.007970137,59
NumHAcceptors,0.0078887995,60
VSA_EState4,0.007888725,61
PEOE_VSA3,0.007839914,62
VSA_EState8,0.007833288,63
VSA_EState7,0.007817508,64
SlogP_VSA1,0.0077827973,65
SMR_VSA2,0.0077185086,66
PEOE_VSA6,0.007553924,67
VSA_EState1,0.0075132796,68
EState_VSA2,0.00749698,69
VSA_EState3,0.007279581,70
SMR_VSA10,0.0072308877,71
Chi1n,0.007178707,72
SlogP_VSA7,0.007130992,73
EState_VSA3,0.007127646,74
PEOE_VSA11,0.0071166805,75
SlogP_VSA8,0.0070883213,76
EState_VSA4,0.006981245,77
MinAbsEStateIndex,0.006976034,78
MaxAbsEStateIndex,0.0069627035,79
Chi0n,0.006787068,80
VSA_EState5,0.006748374,81
SlogP_VSA10,0.0067426083,82
EState_VSA5,0.0066194558,83
MolMR,0.0065827286,84
PEOE_VSA13,0.0065405634,85
NumAliphaticRings,0.006510983,86
SlogP_VSA5,0.006409899,87
SMR_VSA4,0.00638873,88
NumAromaticHeterocycles,0.0062611764,89
PEOE_VSA9,0.0062488704,90
BalabanJ,0.0060570445,91
SMR_VSA3,0.00602131,92
SlogP_VSA6,0.005936279,93
EState_VSA7,0.0058895727,94
EState_VSA6,0.005819811,95
NumAromaticCarbocycles,0.0056964234,96
BertzCT,0.0056317253,97
VSA_EState6,0.005543021,98
PEOE_VSA2,0.0055401823,99
PEOE_VSA7,0.005513365,100
NumHeterocycles,0.0052083354,101
NumAromaticRings,0.0050798734,102
PEOE_VSA12,0.0048804455,103
SMR_VSA7,0.004507733,104
NumSaturatedHeterocycles,0.0045074364,105
EState_VSA11,0.0,106
MaxEStateIndex,0.0,107
NumSpiroAtoms,0.0,108
NumRadicalElectrons,0.0,109
NumUnspecifiedAtomStereoCenters,0.0,110
