Descriptor,False_negative_N,False_negative_median,False_negative_Q1,False_negative_Q3,True_positive_N,True_positive_median,True_positive_Q1,True_positive_Q3,Median_difference_FN_minus_TP,Cliffs_delta,Absolute_Cliffs_delta,Mann_Whitney_p,BH_adjusted_q
SMR_VSA1,40,14.06620202347342,9.53140013787187,14.851596868368791,54,0.0,0.0,8.417796984328938,14.06620202347342,0.6199074074074075,0.6199074074074075,1.5818902686313131e-07,9.807719665514142e-06
Chi0,40,13.263184389818225,6.738422602900647,16.95050629566146,54,6.090899137937356,4.869211301450322,8.179333045451862,7.172285251880869,0.5527777777777778,0.5527777777777778,5.054676393336935e-06,8.525200676112701e-05
NumValenceElectrons,40,96.0,51.5,123.0,54,47.0,36.0,61.5,49.0,0.5504629629629629,0.5504629629629629,5.5001294684598066e-06,8.525200676112701e-05
Kappa1,40,12.628444816053511,6.941267219707604,16.895419291814086,54,6.380000000000001,4.492779080919914,9.112757501701518,6.24844481605351,0.5333333333333333,0.5333333333333333,1.0763955597926093e-05,0.00011122754117856962
HeavyAtomCount,40,17.0,9.0,23.0,54,8.0,6.0,10.75,9.0,0.5324074074074074,0.5324074074074074,1.0567147995425502e-05,0.00011122754117856962
MinAbsPartialCharge,39,0.2791961547919219,0.11549342010358044,0.3295474162109845,52,0.053997464425361755,0.020483850870574024,0.20790804950842615,0.22519869036656015,0.5167652859960552,0.5167652859960552,2.688579186697167e-05,0.0001852132328613604
EState_VSA10,40,6.762162189584822,0.0,10.095585251528084,54,0.0,0.0,3.1566738691233516,6.762162189584822,0.513425925925926,0.513425925925926,3.3024897713320687e-06,8.525200676112701e-05
Chi1,40,7.887011214374862,4.161601979705074,10.551577735049449,54,3.6542831486970986,2.8295070218971734,5.202562186214781,4.2327280656777635,0.513425925925926,0.513425925925926,2.2619900821318426e-05,0.0001852132328613604
Chi2n,40,4.0264429348347255,1.9799460624073986,5.552586514925414,54,1.8114431997778904,1.1530179494887411,2.6558210729678553,2.214999735056835,0.5092592592592593,0.5092592592592593,2.644134234844514e-05,0.0001852132328613604
HeavyAtomMolWt,40,233.65349999999998,119.06599999999997,329.0312500000001,54,110.09499999999998,84.14099999999999,169.78375,123.5585,0.5009259259259259,0.5009259259259259,3.572556414064204e-05,0.00022149849767198062
