mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.4702149232228596,0.03297329831757254,0.08089502652486165,0.004112338644229358,200,20,2,log2,16,True,"{'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 16, 'model__bootstrap': True}",0.5362935274947919,0.5489649751688264,0.5677258547502337,0.5509947858046174,0.012912213793825235,6
10.404252926508585,0.8027540337782878,0.2546536922454834,0.031050253100268255,600,20,1,sqrt,,False,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__bootstrap': False}",0.5272824349332852,0.5952295474120646,0.5509908620673529,0.5578342814709009,0.02815820561755332,4
5.535642147064209,0.8979944808929722,0.26189382870992023,0.101344010686845,600,10,4,log2,24,True,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 24, 'model__bootstrap': True}",0.5350031713587275,0.5740071403181461,0.5732902888339418,0.5607668668369384,0.018220034257799708,3
7.4666798909505205,0.7525624034126638,0.3807987372080485,0.0713833534025075,800,5,1,log2,24,True,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 24, 'model__bootstrap': True}",0.5326201200488794,0.585049440075879,0.5687808960975906,0.5621501520741163,0.02191169359576474,2
5.703605969746907,1.0190183793086471,0.1980892022450765,0.005699046158955954,600,5,4,log2,8,False,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 8, 'model__bootstrap': False}",0.5305882922530095,0.5554271766080429,0.5516208131692553,0.5458787606767692,0.010923092331402892,7
4.440533399581909,0.6327848134882171,0.18551834424336752,0.0211317743147777,400,10,8,log2,16,False,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 16, 'model__bootstrap': False}",0.5456093029002539,0.587743243687179,0.5621625742124594,0.5651717069332974,0.017332212810404823,1
33.549296935399376,0.5005639569864724,0.23434829711914062,0.04432626252991716,600,2,2,0.7,8,True,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.7, 'model__max_depth': 8, 'model__bootstrap': True}",0.5045901666791475,0.5369378481272529,0.5488243239078384,0.5301174462380795,0.018691416530598866,9
40.00286396344503,1.0626778158043293,0.2504415512084961,0.0475318521078483,600,5,2,0.7,24,True,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.7, 'model__max_depth': 24, 'model__bootstrap': True}",0.5289235276292337,0.5880602762204746,0.5550729019878419,0.5573522352791834,0.02419621566382745,5
5.2260688940684,1.0560369111390928,0.24802939097086588,0.025910099724991576,600,10,1,log2,8,True,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 8, 'model__bootstrap': True}",0.5214493919293242,0.5460196496227326,0.5521482543383784,0.5398724319634784,0.013265148623748294,8
57.16348878542582,13.008749531569565,0.24883659680684408,0.047660398738935766,600,10,1,0.7,,False,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None, 'model__bootstrap': False}",0.4323574806081776,0.5137061869732616,0.5053536106883877,0.48380575942327564,0.03653888729765144,10
