feature,importance
Chi2n,0.042092934
Chi3n,0.040673826
VSA_EState2,0.022431705
Chi0,0.01732382
Chi4n,0.016992109
NumHDonors,0.015061627
SlogP_VSA12,0.014975594
EState_VSA10,0.014387399
SlogP_VSA11,0.013805827
VSA_EState10,0.013794407
SMR_VSA1,0.012653507
NumBridgeheadAtoms,0.012603084
HallKierAlpha,0.011945963
NumAliphaticCarbocycles,0.01173694
NumSaturatedCarbocycles,0.011624302
Chi4v,0.011220542
NumValenceElectrons,0.011119475
EState_VSA2,0.0110841235
PEOE_VSA1,0.010528699
NumUnspecifiedAtomStereoCenters,0.010512811
Kappa1,0.010464384
Chi3v,0.010360955
SlogP_VSA3,0.010308332
SMR_VSA5,0.0102919955
TPSA,0.010176698
NumHeterocycles,0.010123419
HeavyAtomCount,0.0101207
NHOHCount,0.010018965
NumAromaticHeterocycles,0.009856025
EState_VSA1,0.009822314
SlogP_VSA10,0.009677782
MaxAbsPartialCharge,0.00961493
SMR_VSA9,0.009606307
SlogP_VSA8,0.009602777
EState_VSA9,0.009464232
MinEStateIndex,0.009406882
Kappa2,0.009380972
PEOE_VSA13,0.009207834
Chi2v,0.00918679
MaxPartialCharge,0.009184256
Chi0v,0.009149967
PEOE_VSA5,0.0090737315
NumHeteroatoms,0.008973473
SMR_VSA4,0.008971681
VSA_EState9,0.0089346925
MinAbsPartialCharge,0.008930617
NOCount,0.008907323
MinPartialCharge,0.008813236
VSA_EState7,0.0087385755
EState_VSA8,0.008649528
MolLogP,0.008458331
Kappa3,0.008432065
Chi1,0.008428846
PEOE_VSA8,0.008289989
Chi1n,0.008065094
SMR_VSA6,0.007964076
SlogP_VSA1,0.007959588
Chi1v,0.007948044
VSA_EState4,0.007914809
SMR_VSA10,0.0077454485
PEOE_VSA2,0.0077114482
NumAliphaticRings,0.0076446002
HeavyAtomMolWt,0.007571194
MinAbsEStateIndex,0.0075686052
NumRotatableBonds,0.0075240387
PEOE_VSA6,0.0074828626
NumAtomStereoCenters,0.007432617
SlogP_VSA2,0.0073695453
MolWt,0.00735194
SlogP_VSA5,0.0073069213
NumAmideBonds,0.007303853
VSA_EState3,0.0072406395
NumHAcceptors,0.0071918797
PEOE_VSA10,0.007109842
NumSaturatedHeterocycles,0.0071094823
MaxAbsEStateIndex,0.007052388
SMR_VSA3,0.007010005
SMR_VSA7,0.0069424165
PEOE_VSA14,0.0068767816
SlogP_VSA6,0.0068693315
PEOE_VSA4,0.0068359617
EState_VSA3,0.006827785
BertzCT,0.006823061
PEOE_VSA12,0.0067034084
SlogP_VSA4,0.006691598
NumAromaticRings,0.006578307
EState_VSA7,0.0065247505
BalabanJ,0.0064843264
VSA_EState1,0.0064578815
VSA_EState8,0.006295597
VSA_EState5,0.0061840303
PEOE_VSA7,0.006142941
PEOE_VSA9,0.0061297105
VSA_EState6,0.0059706448
MaxEStateIndex,0.0059446683
EState_VSA6,0.005918342
NumSaturatedRings,0.005884472
MolMR,0.005844172
EState_VSA4,0.005734602
PEOE_VSA11,0.0055865333
NumAliphaticHeterocycles,0.0055679064
Chi0n,0.0055091972
EState_VSA5,0.005475046
PEOE_VSA3,0.005221685
NumAromaticCarbocycles,0.0048979353
SlogP_VSA7,0.0046978826
SMR_VSA2,0.0046028607
EState_VSA11,0.0
NumSpiroAtoms,0.0
NumRadicalElectrons,0.0
