feature,importance
Chi2n,0.027703129
NumHDonors,0.027445816
SMR_VSA1,0.024334276
Chi1,0.022747187
NumBridgeheadAtoms,0.01786173
EState_VSA1,0.017509181
VSA_EState2,0.017204657
SlogP_VSA11,0.01704747
NHOHCount,0.016498778
HallKierAlpha,0.015313779
Chi3n,0.014001184
SMR_VSA5,0.013541339
NumSaturatedRings,0.0131400265
NumHeterocycles,0.013050821
SMR_VSA9,0.013006559
NOCount,0.012736406
Chi4n,0.012510625
NumSaturatedCarbocycles,0.012213269
SMR_VSA2,0.01170052
SlogP_VSA12,0.011605124
EState_VSA10,0.011537542
NumAtomStereoCenters,0.011301862
TPSA,0.010854722
NumUnspecifiedAtomStereoCenters,0.010653851
NumHAcceptors,0.010369308
NumSpiroAtoms,0.010351789
PEOE_VSA1,0.010349014
Chi0,0.010064713
NumAromaticHeterocycles,0.009787086
SMR_VSA4,0.0094407
HeavyAtomMolWt,0.009178323
MaxPartialCharge,0.009144092
MinEStateIndex,0.009018605
MaxAbsPartialCharge,0.008993844
SlogP_VSA8,0.008933202
VSA_EState10,0.008870711
NumAliphaticRings,0.008829677
SMR_VSA6,0.008811377
PEOE_VSA13,0.0086039575
Kappa2,0.008594512
PEOE_VSA4,0.008561571
MinAbsPartialCharge,0.008507083
VSA_EState9,0.008474436
EState_VSA2,0.008337589
MinPartialCharge,0.008335195
NumAliphaticHeterocycles,0.008290954
PEOE_VSA8,0.008225948
NumAmideBonds,0.008196766
EState_VSA6,0.008156568
Chi2v,0.008124818
EState_VSA9,0.008094639
Chi0n,0.008078428
PEOE_VSA6,0.008028792
PEOE_VSA11,0.00792345
EState_VSA4,0.007835906
SMR_VSA7,0.007818378
NumAliphaticCarbocycles,0.0078051393
EState_VSA8,0.007800926
SlogP_VSA2,0.0077867145
Chi0v,0.0076881982
MolLogP,0.0076509775
Chi4v,0.0075417696
Chi3v,0.00752698
MolWt,0.0074962946
VSA_EState7,0.0074615213
NumHeteroatoms,0.00746044
SlogP_VSA10,0.0073487447
SlogP_VSA3,0.0073168757
VSA_EState3,0.007308114
PEOE_VSA10,0.00730729
VSA_EState5,0.0072410153
PEOE_VSA14,0.007175964
SlogP_VSA4,0.0071066627
BertzCT,0.007036482
Kappa1,0.006954933
SMR_VSA3,0.006928342
PEOE_VSA12,0.006906231
Chi1v,0.0068584373
VSA_EState4,0.0068315915
Chi1n,0.006683967
PEOE_VSA2,0.006680133
MinAbsEStateIndex,0.0066716005
MolMR,0.0066131847
SlogP_VSA1,0.0065131593
VSA_EState1,0.0064747687
NumSaturatedHeterocycles,0.006383835
NumRotatableBonds,0.0063745584
SlogP_VSA7,0.006362275
NumValenceElectrons,0.006333203
HeavyAtomCount,0.0063252733
PEOE_VSA7,0.0062884665
PEOE_VSA5,0.0062780087
SlogP_VSA5,0.0062744636
MaxAbsEStateIndex,0.006231645
SMR_VSA10,0.0061618662
SlogP_VSA6,0.006050209
EState_VSA3,0.0059637674
VSA_EState6,0.005933106
VSA_EState8,0.0059239874
PEOE_VSA3,0.0059204013
PEOE_VSA9,0.00588366
NumAromaticRings,0.0058508026
Kappa3,0.0058030644
EState_VSA5,0.0056068613
BalabanJ,0.0054613906
EState_VSA7,0.005047875
NumAromaticCarbocycles,0.00482505
MaxEStateIndex,0.0046885093
EState_VSA11,0.0
NumRadicalElectrons,0.0
