candidate,mean_AP,std_AP,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
28,0.6316510668606364,0.025236962912898606,0.7,10.0,0.5,500,1,6,0.05,0.3,0.8
24,0.6248363815404863,0.02072683189659993,0.8,0.5,0.1,700,4,6,0.01,0.3,0.8
22,0.6203540203044432,0.016363532508682256,0.8,2.0,0.5,700,4,6,0.01,0.3,1.0
7,0.619429830383748,0.03827131684889963,0.7,2.0,0.5,700,1,6,0.03,0.5,0.6
19,0.6163496621969646,0.015143542134124688,0.8,5.0,0.0,500,4,6,0.01,0.0,1.0
6,0.6126543877619828,0.01668631228817566,1.0,10.0,0.5,700,8,6,0.05,0.5,0.6
12,0.6120336389164379,0.0183940510744603,1.0,2.0,0.5,300,4,6,0.05,0.5,1.0
9,0.611564577720873,0.026089532114359843,0.9,1.0,1.0,300,4,6,0.05,0.1,0.6
30,0.6099809370355841,0.04967106741593463,0.8,2.0,0.1,700,6,4,0.07,0.3,1.0
27,0.6097232892951177,0.03014659500121841,0.7,10.0,1.0,500,8,4,0.03,0.5,0.8
16,0.6089895420116637,0.024104282560103694,0.9,2.0,1.0,700,4,3,0.03,0.1,0.6
8,0.6086803060501973,0.03707981051399115,0.7,5.0,1.0,700,8,6,0.03,0.3,0.8
25,0.6084265676561277,0.030616410321123888,1.0,5.0,0.1,700,6,4,0.03,0.0,1.0
4,0.6072685333338528,0.02930561833312088,0.9,10.0,0.01,700,8,5,0.03,0.5,1.0
11,0.6065675063031408,0.03791032513469487,0.9,10.0,1.0,700,6,6,0.05,0.3,0.6
1,0.6057886560567125,0.040081935284206824,0.9,10.0,0.1,900,8,3,0.07,0.5,0.6
2,0.6052117045604549,0.03178351180629481,1.0,1.0,0.5,300,4,4,0.05,0.0,0.8
17,0.6051349358327057,0.030455772626165792,0.8,1.0,0.5,500,6,3,0.03,0.3,1.0
13,0.6050433623428015,0.02125659905286869,1.0,0.5,0.0,300,6,6,0.03,0.1,0.8
23,0.6046210828280005,0.04291766383166004,0.8,2.0,0.0,900,2,5,0.07,0.5,0.8
14,0.6035819588610608,0.026527566984568922,1.0,5.0,0.01,500,6,6,0.07,0.1,0.8
3,0.6034778758736745,0.03179927003154683,0.7,5.0,0.01,900,8,4,0.01,0.0,0.8
29,0.6030384062707451,0.02499430106719548,1.0,10.0,0.5,900,2,3,0.07,0.1,0.8
5,0.6016262568494739,0.016992155180427952,0.9,10.0,0.5,900,4,4,0.01,0.0,1.0
26,0.5995421001445074,0.007710515952151294,1.0,5.0,0.1,500,6,6,0.01,0.5,0.6
15,0.5993172322676277,0.033786836281480964,1.0,1.0,0.5,500,1,6,0.05,0.0,1.0
10,0.5972046879798134,0.024451154991517576,0.8,10.0,0.01,500,6,3,0.03,0.0,0.8
21,0.5541445193751093,0.017729465566055667,1.0,1.0,0.01,300,1,4,0.01,0.3,0.8
20,0.5431929443235811,0.02811297296842471,1.0,10.0,0.5,700,8,3,0.01,0.3,1.0
18,0.5417287557996963,0.030889303404681375,0.7,0.5,0.01,300,4,3,0.01,0.3,0.6
