Metric,Mean,Std
Accuracy,0.8398181818181818,0.015332068159566309
Precision_toxic,0.5750213043498723,0.04324677786741342
Recall_toxic,0.5757625624449015,0.05170043893392873
F1_toxic,0.5740600830757739,0.03861516896064093
ROC_AUC,0.8527323396439052,0.02251549823170011
PR_AUC,0.619555396645563,0.04823657466965269
Brier,0.1161383334790192,0.010207077574060945
GO_Precision,0.9019764552284137,0.010538397097253563
GO_Recall,0.900836267467881,0.017298498953121324
NO_GO_Precision,0.5750213043498723,0.04324677786741342
NO_GO_Recall,0.5757625624449015,0.05170043893392873
