feature,importance,Percentage
Chi2n,0.027703129,2.7703128
NumHDonors,0.027445816,2.7445815
SMR_VSA1,0.024334276,2.4334276
Chi1,0.022747187,2.2747188
NumBridgeheadAtoms,0.01786173,1.786173
EState_VSA1,0.017509181,1.7509181
VSA_EState2,0.017204657,1.7204657
SlogP_VSA11,0.01704747,1.7047471
NHOHCount,0.016498778,1.6498778
HallKierAlpha,0.015313779,1.5313779
Chi3n,0.014001184,1.4001185
SMR_VSA5,0.013541339,1.3541338
NumSaturatedRings,0.0131400265,1.3140026
NumHeterocycles,0.013050821,1.3050821
SMR_VSA9,0.013006559,1.3006558
NOCount,0.012736406,1.2736406
Chi4n,0.012510625,1.2510625
NumSaturatedCarbocycles,0.012213269,1.221327
SMR_VSA2,0.01170052,1.170052
SlogP_VSA12,0.011605124,1.1605124
EState_VSA10,0.011537542,1.1537541
NumAtomStereoCenters,0.011301862,1.1301862
TPSA,0.010854722,1.0854722
NumUnspecifiedAtomStereoCenters,0.010653851,1.0653851
NumHAcceptors,0.010369308,1.0369308
NumSpiroAtoms,0.010351789,1.0351789
PEOE_VSA1,0.010349014,1.0349014
Chi0,0.010064713,1.0064713
NumAromaticHeterocycles,0.009787086,0.9787086
SMR_VSA4,0.0094407,0.94407
HeavyAtomMolWt,0.009178323,0.91783226
MaxPartialCharge,0.009144092,0.9144092
MinEStateIndex,0.009018605,0.9018605
MaxAbsPartialCharge,0.008993844,0.8993844
SlogP_VSA8,0.008933202,0.89332026
VSA_EState10,0.008870711,0.8870711
NumAliphaticRings,0.008829677,0.88296765
SMR_VSA6,0.008811377,0.8811377
PEOE_VSA13,0.0086039575,0.8603957
Kappa2,0.008594512,0.8594512
PEOE_VSA4,0.008561571,0.8561571
MinAbsPartialCharge,0.008507083,0.8507083
VSA_EState9,0.008474436,0.8474436
EState_VSA2,0.008337589,0.8337589
MinPartialCharge,0.008335195,0.83351946
NumAliphaticHeterocycles,0.008290954,0.82909536
PEOE_VSA8,0.008225948,0.82259476
NumAmideBonds,0.008196766,0.8196766
EState_VSA6,0.008156568,0.8156568
Chi2v,0.008124818,0.8124818
EState_VSA9,0.008094639,0.80946386
Chi0n,0.008078428,0.8078428
PEOE_VSA6,0.008028792,0.8028792
PEOE_VSA11,0.00792345,0.79234505
EState_VSA4,0.007835906,0.7835906
SMR_VSA7,0.007818378,0.78183776
NumAliphaticCarbocycles,0.0078051393,0.78051394
EState_VSA8,0.007800926,0.7800926
SlogP_VSA2,0.0077867145,0.77867144
Chi0v,0.0076881982,0.7688198
MolLogP,0.0076509775,0.76509774
Chi4v,0.0075417696,0.754177
Chi3v,0.00752698,0.752698
MolWt,0.0074962946,0.74962944
VSA_EState7,0.0074615213,0.7461521
NumHeteroatoms,0.00746044,0.746044
SlogP_VSA10,0.0073487447,0.7348745
SlogP_VSA3,0.0073168757,0.73168755
VSA_EState3,0.007308114,0.73081136
PEOE_VSA10,0.00730729,0.730729
VSA_EState5,0.0072410153,0.72410154
PEOE_VSA14,0.007175964,0.7175964
SlogP_VSA4,0.0071066627,0.7106663
BertzCT,0.007036482,0.7036482
Kappa1,0.006954933,0.6954933
SMR_VSA3,0.006928342,0.6928342
PEOE_VSA12,0.006906231,0.6906231
Chi1v,0.0068584373,0.6858437
VSA_EState4,0.0068315915,0.6831592
Chi1n,0.006683967,0.6683967
PEOE_VSA2,0.006680133,0.6680133
MinAbsEStateIndex,0.0066716005,0.66716003
MolMR,0.0066131847,0.6613185
SlogP_VSA1,0.0065131593,0.6513159
VSA_EState1,0.0064747687,0.64747685
NumSaturatedHeterocycles,0.006383835,0.6383835
NumRotatableBonds,0.0063745584,0.6374558
SlogP_VSA7,0.006362275,0.63622755
NumValenceElectrons,0.006333203,0.63332033
HeavyAtomCount,0.0063252733,0.63252735
PEOE_VSA7,0.0062884665,0.62884665
PEOE_VSA5,0.0062780087,0.6278009
SlogP_VSA5,0.0062744636,0.62744635
MaxAbsEStateIndex,0.006231645,0.62316453
SMR_VSA10,0.0061618662,0.6161866
SlogP_VSA6,0.006050209,0.6050209
EState_VSA3,0.0059637674,0.5963767
VSA_EState6,0.005933106,0.5933106
VSA_EState8,0.0059239874,0.59239876
PEOE_VSA3,0.0059204013,0.5920401
PEOE_VSA9,0.00588366,0.58836603
NumAromaticRings,0.0058508026,0.58508027
Kappa3,0.0058030644,0.5803065
EState_VSA5,0.0056068613,0.5606861
BalabanJ,0.0054613906,0.54613906
EState_VSA7,0.005047875,0.5047875
NumAromaticCarbocycles,0.00482505,0.482505
MaxEStateIndex,0.0046885093,0.46885094
EState_VSA11,0.0,0.0
NumRadicalElectrons,0.0,0.0
