feature,mean_abs_shap,Percentage,Category
VSA_EState2,0.32779592,4.6525474,VSA
SMR_VSA1,0.3186583,4.522853,VSA
Chi2n,0.28179306,3.9996092,Structural
SMR_VSA5,0.25843576,3.668089,VSA
MinEStateIndex,0.25707388,3.6487591,Other
SMR_VSA6,0.24080458,3.4178421,VSA
Chi2v,0.23062031,3.2732923,Structural
PEOE_VSA8,0.21858092,3.102412,VSA
Chi3n,0.21831758,3.0986745,Structural
NumHDonors,0.21692628,3.078927,Structural
MinAbsPartialCharge,0.21070147,2.9905758,Other
HallKierAlpha,0.20247933,2.8738756,Structural
PEOE_VSA1,0.19581488,2.779284,VSA
MaxAbsPartialCharge,0.19025265,2.700337,Other
EState_VSA1,0.18598962,2.6398299,VSA
Kappa2,0.17733303,2.5169632,Structural
MinPartialCharge,0.17690076,2.510828,Other
SMR_VSA9,0.17530312,2.488152,VSA
TPSA,0.1699298,2.4118862,Other
Chi4n,0.16524608,2.3454082,Structural
PEOE_VSA6,0.14313506,2.0315769,VSA
MaxPartialCharge,0.1415728,2.0094032,Other
EState_VSA8,0.13985631,1.9850403,VSA
SlogP_VSA2,0.13394557,1.9011465,VSA
EState_VSA4,0.12165655,1.7267233,VSA
EState_VSA6,0.11223849,1.5930487,VSA
EState_VSA2,0.10507645,1.4913949,VSA
VSA_EState9,0.10382481,1.4736297,VSA
EState_VSA9,0.09802132,1.3912584,VSA
Chi0,0.09736222,1.3819035,Structural
HeavyAtomMolWt,0.096671306,1.372097,Structural
SlogP_VSA12,0.09659653,1.3710357,VSA
PEOE_VSA11,0.092282645,1.309807,VSA
SlogP_VSA11,0.0919655,1.3053055,VSA
PEOE_VSA4,0.08982173,1.2748781,VSA
Chi0v,0.07805363,1.1078484,Structural
SMR_VSA7,0.076796785,1.0900095,VSA
Chi0n,0.07349383,1.0431292,Structural
Chi1,0.07006359,0.9944424,Structural
EState_VSA10,0.062113333,0.88160104,VSA
NOCount,0.059705894,0.8474312,Other
SlogP_VSA8,0.057521142,0.81642216,VSA
VSA_EState10,0.05628463,0.79887176,VSA
NumAtomStereoCenters,0.04853556,0.6888859,Structural
NumAliphaticRings,0.047564447,0.6751025,Structural
NHOHCount,0.046932697,0.6661358,Other
NumAliphaticCarbocycles,0.045385767,0.6441795,Structural
SMR_VSA4,0.044001587,0.6245333,VSA
NumAromaticHeterocycles,0.038123325,0.5411006,Structural
NumHAcceptors,0.0345158,0.48989752,Structural
PEOE_VSA13,0.03297081,0.46796873,VSA
NumSaturatedRings,0.030921992,0.43888903,Structural
NumHeterocycles,0.016181685,0.22967355,Structural
NumBridgeheadAtoms,0.009208579,0.13070129,Structural
NumAmideBonds,0.009044504,0.1283725,Structural
NumAliphaticHeterocycles,0.00834817,0.11848913,Structural
SMR_VSA2,0.00762159,0.108176485,VSA
NumUnspecifiedAtomStereoCenters,0.00714191,0.101368174,Structural
NumSaturatedCarbocycles,0.0019014503,0.026988095,Structural
NumSpiroAtoms,9.727929e-05,0.0013807265,Structural
