feature,mean_abs_shap,Percentage,Category
VSA_EState2,0.32779592,4.6525474,VSA
SMR_VSA1,0.3186583,4.522853,VSA
Chi2n,0.28179306,3.9996092,Structural
SMR_VSA5,0.25843576,3.668089,VSA
MinEStateIndex,0.25707388,3.6487591,Other
SMR_VSA6,0.24080458,3.4178421,VSA
Chi2v,0.23062031,3.2732923,Structural
PEOE_VSA8,0.21858092,3.102412,VSA
Chi3n,0.21831758,3.0986745,Structural
NumHDonors,0.21692628,3.078927,Structural
MinAbsPartialCharge,0.21070147,2.9905758,Other
HallKierAlpha,0.20247933,2.8738756,Structural
PEOE_VSA1,0.19581488,2.779284,VSA
MaxAbsPartialCharge,0.19025265,2.700337,Other
EState_VSA1,0.18598962,2.6398299,VSA
Kappa2,0.17733303,2.5169632,Structural
MinPartialCharge,0.17690076,2.510828,Other
SMR_VSA9,0.17530312,2.488152,VSA
TPSA,0.1699298,2.4118862,Other
Chi4n,0.16524608,2.3454082,Structural
